r_km,obs,theo,lo,hi,Statut
653.4028995967403,657563.9397754304,653402.8995967404,602366.9353240123,700669.3407471966,Compatible avec le hasard
657.2464460649564,661786.6556345258,657246.4460649565,605816.7966933777,705387.5412234409,Compatible avec le hasard
661.0899925331726,665982.5975645874,661089.9925331726,608796.2699080422,709524.6172210238,Compatible avec le hasard
664.9335390013888,669227.920078262,664933.5390013888,611804.7516787007,713784.2240958076,Compatible avec le hasard
668.7770854696049,675190.6458223998,668777.0854696049,614863.8758692514,717458.494166619,Compatible avec le hasard
672.620631937821,679713.745011316,672620.631937821,617869.4942044835,721821.3474643563,Compatible avec le hasard
676.4641784060371,684206.9439201473,676464.1784060372,621457.0484691276,726373.1625012626,Compatible avec le hasard
680.3077248742533,686194.4773557587,680307.7248742533,625754.3418099886,731055.5798755776,Compatible avec le hasard
684.1512713424694,689658.878274096,684151.2713424694,629104.2283898958,735417.2784313534,Compatible avec le hasard
687.9948178106855,694332.9173848435,687994.8178106855,632918.5372646775,739011.5334590558,Compatible avec le hasard
691.8383642789016,697512.8980615806,691838.3642789016,636024.1988945887,742622.6078465868,Compatible avec le hasard
695.6819107471177,702377.0636736033,695681.9107471177,639791.0409498643,746853.3667710666,Compatible avec le hasard
699.5254572153339,703964.1153401387,699525.4572153338,643934.7244231344,751237.5532036339,Compatible avec le hasard
703.36900368355,706110.3523788748,703369.0036835499,648001.9071522017,755690.2901320392,Compatible avec le hasard
707.2125501517661,690398.9881757922,707212.550151766,651229.5692394895,759842.2084951657,Compatible avec le hasard
711.0560966199821,675082.5836201303,711056.0966199822,654627.4673061179,764008.6285925235,Compatible avec le hasard
714.8996430881983,670806.2446106026,714899.6430881984,656916.8262292015,768068.8588854043,Compatible avec le hasard
718.7431895564144,680464.6718597385,718743.1895564145,660335.9826862258,771759.3010775973,Compatible avec le hasard
722.5867360246306,680964.8297162126,722586.7360246306,663142.6718819152,775661.1573591118,Compatible avec le hasard
726.4302824928467,685946.3506156427,726430.2824928467,667316.8547410523,779726.2677143518,Compatible avec le hasard
730.2738289610628,661435.792312717,730273.8289610628,670892.2480953943,783470.5038296652,Repulsion significative
734.1173754292789,662721.3830151203,734117.3754292789,673659.6381404571,788012.9853846413,Repulsion significative
737.960921897495,664004.4846675327,737960.921897495,676448.8623790737,792222.6769870535,Repulsion significative
741.8044683657112,666563.2782900959,741804.4683657112,678099.2173263842,795967.801653307,Repulsion significative
745.6480148339273,672917.6953613642,745648.0148339273,681962.675586903,799548.3818530233,Repulsion significative
749.4915613021434,675442.7237276996,749491.5613021434,685477.3270552572,803028.1015777953,Repulsion significative
753.3351077703595,681089.8117911782,753335.1077703595,688027.7568118032,807402.5761380745,Repulsion significative
757.1786542385756,684206.9439201473,757178.6542385756,690822.7573871884,810899.7882441257,Repulsion significative
761.0222007067918,686690.4618638528,761022.2007067917,693983.6499194982,814927.831479777,Repulsion significative
764.865747175008,782113.6825009321,764865.747175008,697873.2530100242,819761.2468610223,Compatible avec le hasard
768.7092936432241,783563.3847319979,768709.293643224,699498.3772467688,823554.0926536137,Compatible avec le hasard
772.5528401114402,785010.4097591069,772552.8401114402,702245.3493260391,827094.9133071987,Compatible avec le hasard
776.3963865796562,787175.9598313486,776396.3865796563,706379.0356671846,831597.9070744542,Compatible avec le hasard
780.2399330478723,789335.5687175441,780239.9330478724,710631.0931820814,835333.270562801,Compatible avec le hasard
784.0834795160885,790772.0313593196,784083.4795160885,714563.7800615274,839264.0062167706,Compatible avec le hasard
787.9270259843046,797915.5552234991,787927.0259843046,718084.7835991316,844095.7997355248,Compatible avec le hasard
791.7705724525207,800755.1213339922,791770.5724525207,720984.6941548097,848191.5032735713,Compatible avec le hasard
795.6141189207368,807810.3688552758,795614.1189207368,724041.2908772597,851484.4806381868,Compatible avec le hasard
799.4576653889529,825184.6225232244,799457.6653889529,728279.0129763687,855973.9917414346,Compatible avec le hasard
803.301211857169,831350.4713221304,803301.211857169,731525.3009070758,859596.9226832313,Compatible avec le hasard
807.1447583253852,835435.756225466,807144.7583253852,734370.1638666289,864800.03055034,Compatible avec le hasard
810.9883047936013,839501.1610429757,810988.3047936013,737339.801129646,868218.3477560448,Compatible avec le hasard
814.8318512618175,843546.9732059931,814831.8512618175,741839.4273557878,872598.0272634096,Compatible avec le hasard
818.6753977300336,849579.567152909,818675.3977300336,745372.576859758,876955.8341146674,Compatible avec le hasard
822.5189441982498,851580.9352198816,822518.9441982497,749356.6749798662,880122.6013021099,Compatible avec le hasard
826.3624906664659,857557.0151008621,826362.4906664658,750407.7485230138,884899.8155797118,Compatible avec le hasard
830.206037134682,865460.9334763044,830206.037134682,752738.2129798118,887990.1120848106,Compatible avec le hasard
834.0495836028981,873293.3187644641,834049.583602898,756943.8922132802,892489.4355956546,Compatible avec le hasard
837.8931300711141,879121.8149479536,837893.1300711142,761413.9302426258,897424.682217561,Compatible avec le hasard
841.7366765393302,881056.0787053386,841736.6765393303,764693.075174541,901274.4400052045,Compatible avec le hasard
845.5802230075464,888751.0377201277,845580.2230075464,769748.143616518,903989.0384150845,Compatible avec le hasard
849.4237694757625,890664.389854477,849423.7694757625,774484.4863525023,907561.6149255695,Compatible avec le hasard
853.2673159439786,894478.8158292715,853267.3159439786,779513.0962373628,911639.7841251199,Compatible avec le hasard
857.1108624121947,902059.2803093995,857110.8624121948,782445.8769041292,915699.7909320953,Compatible avec le hasard
860.9544088804109,NA,860954.408880411,786567.6571894946,919741.8758686974,Compatible avec le hasard
864.797955348627,NA,864797.9553486271,790199.2047483721,924193.3703729335,Compatible avec le hasard
868.6415018168432,NA,868641.5018168432,793884.8553659377,927207.3281129476,Compatible avec le hasard
872.4850482850593,NA,872485.0482850593,796711.1876226616,930775.5819306363,Compatible avec le hasard
876.3285947532754,NA,876328.5947532754,800658.5834855597,936466.3407098459,Compatible avec le hasard
880.1721412214915,NA,880172.1412214914,806853.8539755204,942129.0500097498,Compatible avec le hasard
884.0156876897076,NA,884015.6876897076,808946.2605103023,945352.2738602068,Compatible avec le hasard
887.8592341579238,NA,887859.2341579237,813114.9204328406,949317.9886561837,Compatible avec le hasard
891.7027806261399,NA,891702.7806261398,817032.4586703475,953614.8808302946,Compatible avec le hasard
895.546327094356,NA,895546.327094356,820244.617764626,958584.367292793,Compatible avec le hasard
899.389873562572,NA,899389.87356257206,824063.1451310314,962380.755881623,Compatible avec le hasard
903.2334200307881,NA,903233.4200307882,827864.0597070615,967876.1938752424,Compatible avec le hasard
907.0769664990042,NA,907076.9664990043,832518.2864553464,969876.3752215042,Compatible avec le hasard
910.9205129672205,NA,910920.5129672205,837283.4202717355,973812.045557438,Compatible avec le hasard
914.7640594354366,NA,914764.0594354367,839894.2261724168,978513.9550894056,Compatible avec le hasard
