Birthplace,Country,NbJoueurs,latitude,longitude
"Humboldt, SK, Canada",Canada,6,52.202009,-105.1230368
"Keswick, ON, Canada",Canada,6,44.2396166,-79.4686558
"Kincardine, ON, Canada",Canada,6,44.1776378,-81.6348713
"Langley, BC, Canada",Canada,6,49.1039289,-122.657047
"Lappeenranta, Finland",Finland,6,61.0583417,28.1862293
"Leamington, ON, Canada",Canada,6,42.0531385,-82.5997722
"Liptovsky Mikulas, Slovakia",Slovakia,6,49.0835785,19.612785
"Ljungby, Sweden",Sweden,6,56.8325886,13.9359916
"Long Beach, CA, USA",USA,6,33.7690164,-118.191604
"Magnitogorsk, Russia",Russia,6,53.4256867,59.0507322
"Milton, ON, Canada",Canada,6,43.513671,-79.882817
"Minnetonka, MN, USA",USA,6,44.9405086,-93.4638936
"Mlada Boleslav, Czech Republic",Czech Republic,6,50.4116187,14.9031301
"Murmansk, Russia",Russia,6,68.970665,33.07497
"Novosibirsk, Russia",Russia,6,54.9678145,82.9515989
"Oslo, Norway",Norway,6,59.9133301,10.7389701
"Ostersund, Sweden",Sweden,6,63.1793655,14.6357061
"Penza, Russia",Russia,6,53.1953477,45.0190437
"Perth, ON, Canada",Canada,6,43.4935991,-81.0164111
"Philadelphia, PA, USA",USA,6,39.9527237,-75.1635262
"Rauma, Finland",Finland,6,61.1289148,21.5039401
"Schumacher, ON, Canada",Canada,6,48.4768905,-81.2982223
"Seaforth, ON, Canada",Canada,6,43.5534328,-81.3934183
"Spruce Grove, AB, Canada",Canada,6,53.545204,-113.903503
"Stoney Creek, ON, Canada",Canada,6,43.2167526,-79.7567616
"Strathroy, ON, Canada",Canada,6,42.9549523,-81.6224961
"Togliatti, Russia",Russia,6,53.5098845,49.4189187
"Trenton, MI, USA",USA,6,42.1406552,-83.1800544
"Uppsala, Sweden",Sweden,6,59.8586126,17.6387436
"Valleyfield, QC, Canada",Canada,6,45.2555575,-74.1316718
"Weston, ON, Canada",Canada,6,43.7000465,-79.5127589
"Winchester, MA, USA",USA,6,42.4523178,-71.1369982
"Bern, Switzerland",Switzerland,5,46.9484742,7.4521749
"Bracebridge, ON, Canada",Canada,5,45.041508,-79.310989
"Buckingham, QC, Canada",Canada,5,45.5864671,-75.4168252
"Campbell River, BC, Canada",Canada,5,50.023071,-125.244153
"Campbellton, NB, Canada",Canada,5,48.0046634,-66.6765986
"Columbus, OH, USA",USA,5,39.9622601,-83.0007065
"Copper Cliff, ON, Canada",Canada,5,46.4676274,-81.0661744
"Deloraine, MB, Canada",Canada,5,49.1926295,-100.4945182
"Duncan, BC, Canada",Canada,5,48.7786872,-123.7080446
"Edinburgh, Scotland",Scotland,5,55.9533456,-3.1883749
"Etobicoke, ON, Canada",Canada,5,43.6435559,-79.5656326
"Farmington, MI, USA",USA,5,42.4644795,-83.3763219
"Fort McMurray, AB, Canada",Canada,5,56.7291997,-111.3885221
"Framingham, MA, USA",USA,5,42.2773177,-71.4165905
"Fredericton, NB, Canada",Canada,5,45.9488278,-66.6291827
"Greenfield Park, QC, Canada",Canada,5,45.4926624,-73.4870499
"Hartford, CT, USA",USA,5,41.764582,-72.6908547
"Herning, Denmark",Denmark,5,56.1379757,8.9746623
"Hradec Kralove, Czech Republic",Czech Republic,5,50.2092113,15.8327512
"Jonkoping, Sweden",Sweden,5,57.7825634,14.165719
"Kapuskasing, ON, Canada",Canada,5,49.416667,-82.433333
"Litvinov, Czech Republic",Czech Republic,5,50.6009532,13.6110485
"Los Angeles, CA, USA",USA,5,34.0536909,-118.242766
"Martin, Slovakia",Slovakia,5,49.0724921,18.929193
"Meaford, ON, Canada",Canada,5,44.6069298,-80.5916531
"Mimico, ON, Canada",Canada,5,43.6166773,-79.4968048
"Nanaimo, BC, Canada",Canada,5,49.163877,-123.938122
"Neepawa, MB, Canada",Canada,5,50.2284172,-99.4664008
"Nelson, BC, Canada",Canada,5,49.494891,-117.290039
"New Glasgow, NS, Canada",Canada,5,45.5869474,-62.6483547
"Nitra, Slovakia",Slovakia,5,48.31295,18.0894593
"Nizhny Tagil, Russia",Russia,5,57.9076001,59.97077
"Novokuznetsk, Russia",Russia,5,53.7582436,87.14653
"Peace River, AB, Canada",Canada,5,56.2337111,-117.2910839
"Penetanguishene, ON, Canada",Canada,5,44.7688035,-79.9339487
"Penticton, BC, Canada",Canada,5,49.5003268,-119.593249
"Pitea, Sweden",Sweden,5,65.3134652,21.4900252
"Ponoka, AB, Canada",Canada,5,52.6744291,-113.5771426
"Port Alberni, BC, Canada",Canada,5,49.2343668,-124.8056517
"Port Hope, ON, Canada",Canada,5,43.9515755,-78.2939704
"Portage la Prairie, MB, Canada",Canada,5,49.972422,-98.289185
"Providence, RI, USA",USA,5,41.8239891,-71.4128343
"Quesnel, BC, Canada",Canada,5,52.9794279,-122.493627
"Rimouski, QC, Canada",Canada,5,48.450155,-68.529968
"Roseville, MN, USA",USA,5,45.0060767,-93.1566107
"Rosthern, SK, Canada",Canada,5,52.663891,-106.335297
"Saint John, NB, Canada",Canada,5,45.272764,-66.0627914
"Shawville, QC, Canada",Canada,5,45.6035643,-76.491467599999993
"Skalica, Slovakia",Slovakia,5,48.8461007,17.2287837
"Souris, MB, Canada",Canada,5,49.6210094,-100.2582479
"Springfield, MA, USA",USA,5,42.1018764,-72.5886727
