Birthplace_original,Birthplace,Country,NbJoueurs,latitude,longitude
"Whitby, ON, Canada","Whitby, ON, Canada",Canada,9,43.87982,-78.9421751
"Yorkton, SK, Canada","Yorkton, SK, Canada",Canada,9,51.212045,-102.461243
"Ann Arbor, MI, USA","Ann Arbor, MI, USA",USA,8,42.2813722,-83.7484616
"Aurora, ON, Canada","Aurora, ON, Canada",Canada,8,43.99973,-79.467545
"Bloomington, MN, USA","Bloomington, MN, USA",USA,8,44.8322405,-93.3204872
"Burnsville, MN, USA","Burnsville, MN, USA",USA,8,44.7670567,-93.2773887
"Coquitlam, BC, Canada","Coquitlam, BC, Canada",Canada,8,49.2842958,-122.793281
"Dauphin, MB, Canada","Dauphin, MB, Canada",Canada,8,51.153509,-100.04425
"Dearborn, MI, USA","Dearborn, MI, USA",USA,8,42.3222599,-83.1763145
"Eveleth, MN, USA","Eveleth, MN, USA",USA,8,47.462761,-92.538824
"Fort Frances, ON, Canada","Fort Frances, ON, Canada",Canada,8,48.6114425,-93.3967615
"Jyvaskyla, Finland","Jyvaskyla, Finland",Finland,8,62.241672,25.7495806
"Kelowna, BC, Canada","Kelowna, BC, Canada",Canada,8,49.8879177,-119.495902
"Lindsay, ON, Canada","Lindsay, ON, Canada",Canada,8,44.3551266,-78.7369939
"Orebro, Sweden","Orebro, Sweden",Sweden,8,59.2747287,15.2151181
"Repentigny, QC, Canada","Repentigny, QC, Canada",Canada,8,45.7326055,-73.4528307
"Richmond, BC, Canada","Richmond, BC, Canada",Canada,8,49.163168,-123.137414
"Rochester, MN, USA","Rochester, MN, USA",USA,8,44.0234387,-92.4630182
"Roseau, MN, USA","Roseau, MN, USA",USA,8,48.7710371,-95.7697882
"Saint-Hyacinthe, QC, Canada","Saint-Hyacinthe, QC, Canada",Canada,8,45.627484,-72.940636
"South Porcupine, ON, Canada","South Porcupine, ON, Canada",Canada,8,48.4850936,-81.2087005
"St. Petersburg, Russia","St. Petersburg, Russia",Russia,8,59.9606739,30.1586551
"Ufa, Russia","Ufa, Russia",Russia,8,54.7261409,55.947499
"Umea, Sweden","Umea, Sweden",Sweden,8,63.8256568,20.2630745
